Rank,Name(Male),Country,Points
1,Djokovic Novak,Serbia,7070
2,Alcaraz Carlos,Spain,6730
3,Tsitsipas Stefanos,Greece,6195
4,Ruud Casper,Norway,5765
5,Rublev Andrey,Russia,4200
6,Nadal Rafael,Spain,3815
7,Auger Aliassime Felix,Canada,3715
8,Fritz Taylor Harry,USA,3410
9,Rune Holger,Denmark,3046
10,Hurkacz Hubert,Poland,2995
11,Norrie Cameron,Great Britain,2760
12,Medvedev Daniil,Russia,2750
13,Khachanov Karen,Russia,2515
14,Zverev Alexander,Germany,2425
15,Tiafoe Frances,USA,2305
16,Carreno-Busta Pablo,Spain,2285
17,Sinner Jannik,Italy,2195
18,Musetti Lorenzo,Italy,1925
19,Paul Tommy,USA,1835
20,Kyrgios Nick,Australia,1825
21,Cilic Marin,Croatia,1790
22,Berrettini Matteo,Italy,1780
23,Coric Borna,Croatia,1770
24,Bautista-Agut Roberto,Spain,1765
25,De Minaur Alex,Australia,1710
26,Korda Sebastian,USA,1595
27,Shapovalov Denis,Canada,1560
28,Schwartzman Diego,Argentina,1550
29,Dimitrov Grigor,Bulgaria,1440
30,Evans Daniel,Great Britain,1380
31,Cerundolo Francisco,Argentina,1377
32,Davidovich Fokina Alejandro,Spain,1325
33,Nishioka Yoshihito,Japan,1302
34,Kecmanovic Miomir,Serbia,1275
35,Van De Zandschulp Botic,Netherlands,1160
36,Bublik Alexander,Kazakhstan,1095
37,Ramos-Vinolas Albert,Spain,1075
38,Brooksby Jenson,USA,1070
39,Lehecka Jiri,Czech Republic,1042
40,Draper Jack,Great Britain,1024
41,Goffin David,Belgium,985
42,Isner John,USA,980
43,Ruusuvuori Emil,Finland,976
44,Shelton Ben,USA,964
45,Bonzi Benjamin,France,956
46,Gasquet Richard,France,955
47,Baez Sebastian,Argentina,940
48,Wolf Jeffrey John,USA,922
49,Opelka Reilly,USA,915
50,Nakashima Brandon,USA,902
