Rank,Country,liters of pure alcohol
1,Cook Islands,12.97
2,Latvia,12.9
3,Czechia,12.73
4,Lithuania,11.93
5,Austria,11.9
6,Antigua and Barbuda,11.88
7,Estonia,11.65
8,France,11.44
9,Bulgaria,11.18
10,Slovenia,11.05
11,Luxembourg,11.0
12,Andorra,10.99
13,Poland,10.96
14,Romania,10.96
15,Ireland,10.91
16,Hungary,10.79
17,Spain,10.72
18,Belarus,10.57
19,Germany,10.56
20,Portugal,10.37
21,Slovakia,10.3
22,Barbados,9.94
23,Montenegro,9.91
24,United Kingdom,9.8
25,Croatia,9.64
26,Cyprus,9.59
27,Australia,9.51
28,"Bahamas, The",9.48
29,Seychelles,9.48
30,Switzerland,9.41
31,Saint Lucia,9.3
32,New Zealand,9.17
33,Denmark,9.16
34,Belgium,9.15
35,United States,8.93
36,Saint Kitts and Nevis,8.84
37,Grenada,8.62
38,Niue,8.5
39,Japan,8.36
40,Finland,8.23
41,Netherlands,8.23
42,Laos,8.15
43,Malta,8.07
44,Canada,8.0
45,Argentina,7.95
46,Tanzania,7.81
47,Chile,7.8
48,"Korea, South",7.74
49,Iceland,7.72
50,Eswatini,7.68
51,Italy,7.65
52,Saint Vincent and the Grenadines,7.48
53,Georgia,7.45
54,Moldova,7.45
55,Serbia,7.45
56,Russia,7.29
57,Burkina Faso,7.28
58,South Africa,7.21
59,Sweden,7.1
60,Thailand,6.86
61,Uganda,6.82
62,Suriname,6.6
63,Panama,6.54
64,Gabon,6.47
65,Rwanda,6.35
66,Greece,6.33
67,Dominica,6.32
68,Brazil,6.12
69,Equatorial Guinea,6.11
70,Norway,6.05
71,Botswana,5.98
72,Belize,5.93
73,Angola,5.84
74,Trinidad and Tobago,5.81
75,"Congo, Republic of the",5.74
76,Peru,5.74
77,Ukraine,5.69
78,Dominican Republic,5.56
79,Paraguay,5.47
80,Bosnia and Herzegovina,5.46
81,Mongolia,5.46
82,Uruguay,5.42
83,Guyana,5.11
84,Philippines,4.85
85,Cabo Verde,4.7
86,Cuba,4.7
87,Cambodia,4.56
88,Nigeria,4.49
89,China,4.48
90,Albania,4.4
91,Mexico,4.25
92,Sao Tome and Principe,4.23
93,Cameroon,4.09
94,Colombia,4.09
95,Burundi,4.07
96,Kyrgyzstan,4.02
97,North Macedonia,3.9
98,Zambia,3.82
99,Armenia,3.77
100,Kazakhstan,3.73
101,Nicaragua,3.69
102,"Korea, North",3.61
103,Lesotho,3.56
104,Jamaica,3.46
105,Vietnam,3.41
106,Mauritius,3.39
107,Sierra Leone,3.22
108,Guinea-Bissau,3.21
109,Liberia,3.12
110,Zimbabwe,3.11
111,India,3.09
112,Costa Rica,3.07
113,Israel,3.07
114,Ecuador,3.05
115,Bolivia,2.98
116,El Salvador,2.94
117,Turkmenistan,2.88
118,Haiti,2.85
119,Honduras,2.73
120,Fiji,2.71
121,"Gambia, The",2.67
122,Sri Lanka,2.58
123,Venezuela,2.51
124,Uzbekistan,2.45
125,Nauru,2.44
126,Namibia,2.38
127,Samoa,2.18
128,Burma,2.06
129,Malawi,2.04
130,United Arab Emirates,2.03
131,Sudan,1.93
132,Singapore,1.81
133,Cote d'Ivoire,1.7
134,Kenya,1.68
135,Guatemala,1.63
136,Vanuatu,1.6
137,Ghana,1.59
138,"Micronesia, Federated States of",1.59
139,Tunisia,1.51
140,Mozambique,1.46
141,Togo,1.4
142,Azerbaijan,1.38
143,Maldives,1.38
144,Papua New Guinea,1.26
145,Benin,1.25
146,Solomon Islands,1.19
147,Bahrain,1.18
148,Turkey (Turkiye),1.18
149,Ethiopia,1.16
150,Lebanon,1.14
151,Qatar,0.96
152,Central African Republic,0.94
153,Eritrea,0.93
154,Tuvalu,0.93
155,Madagascar,0.89
156,Tajikistan,0.85
157,Brunei,0.69
158,Malaysia,0.64
159,Mali,0.6
160,Algeria,0.59
161,"Congo, Democratic Republic of the",0.56
162,Chad,0.55
163,Morocco,0.51
164,Oman,0.47
165,Kiribati,0.43
166,Timor-Leste,0.41
167,Nepal,0.36
168,Guinea,0.33
169,Tonga,0.31
170,Jordan,0.25
171,Senegal,0.25
172,Djibouti,0.21
173,Comoros,0.18
174,Iraq,0.16
175,Egypt,0.14
176,Syria,0.13
177,Niger,0.11
178,Indonesia,0.08
179,Bhutan,0.07
180,Pakistan,0.04
181,Iran,0.02
182,Yemen,0.02
183,Afghanistan,0.01
184,Libya,0.01
185,Bangladesh,0.0
186,Kuwait,0.0
187,Mauritania,0.0
188,Saudi Arabia,0.0
189,Somalia,0.0
