Rank,Name(Female),Country,Points
1,Swiatek Iga,Poland,10485
2,Sabalenka Aryna,Belarus,6100
3,Jabeur Ons,Tunisia,5210
4,Pegula Jessica,USA,5000
5,Garcia Caroline,France,4645
6,Gauff Cori,USA,3992
7,Sakkari Maria,Greece,3811
8,Kasatkina Darya,Russia,3380
9,Bencic Belinda,Switzerland,2905
10,Rybakina Elena,Kazakhstan,2815
11,Kudermetova Veronika,Russia,2740
12,Ostapenko Jelena,Latvia,2340
13,Kvitova Petra,Czech Republic,2281
14,Haddad Maia Beatriz,Brazil,2195
15,Halep Simona,Romania,2141
16,Azarenka Viktoria,Belarus,2138
17,Alexandrova Ekaterina,Russia,2030
18,Kontaveit Anett,Estonia,1909
19,Samsonova Ludmilla,Russia,1905
20,Pliskova Karolina,Czech Republic,1880
21,Badosa Paula,Spain,1862
22,Linette Magda,Poland,1770
23,Zhang Shuai,China,1710
24,Keys Madison,USA,1668
25,Trevisan Martina,Italy,1572
26,Bouzkova Marie,Czech Republic,1521
27,Begu Irina,Romania,1472
28,Teichmann Jil Belen,Switzerland,1429
29,Zheng Qinwen,China,1415
30,Krejcikova Barbora,Czech Republic,1410
31,Kalinina Anhelina,Ukraine,1347
32,Mertens Elise,Belgium,1339
33,Vekic Donna,Croatia,1326
34,Tomljanovic Ajla,Australia,1305
35,Anisimova Amanda,USA,1305
36,Martic Petra,Croatia,1297
37,Sasnovich Aliaksandra,Belarus,1291
38,Fernandez Leylah,Canada,1258
39,Stephens Sloane A.,USA,1244
40,Collins Danielle,USA,1218
41,Pera Bernarda,USA,1205
42,Andreescu Bianca Vanessa,Canada,1191
43,Potapova Anastasia,Russia,1139
44,Putintseva Yulia,Kazakhstan,1114
45,Rogers Shelby,USA,1062
46,Siniakova Katerina,Czech Republic,1055
47,Kanepi Kaia,Estonia,1052
48,Davis Lauren,USA,1014
49,Cocciaretto Elisabetta,Italy,1005
50,Sherif Mayar,Egypt,991
